Reopening,Low,High,Final,AD/Date,state
600000,641300,647050,647000,4/6/2024 0:00,up
635620,635500,644100,641000,4/4/2024 0:00,up
627730,627500,634750,634740,4/3/2024 0:00,up
623120,623000,632900,632900,4/2/2024 0:00,down
,615750,617100,616580,3/28/2024 0:00,up
,607950,614100,613950,3/27/2024 0:00,up
,607870,612600,608380,3/26/2024 0:00,up
616550,613750,617090,614030,3/25/2024 0:00,up
608730,608700,618440,618100,3/24/2024 0:00,down
609280,609250,619100,615900,3/23/2024 0:00,up
604350,604250,610100,609460,3/19/2024 0:00,up
,600270,604100,603510,3/18/2024 0:00,up
600250,599750,603600,600260,3/17/2024 0:00,up
595280,593000,601100,601080,3/16/2024 0:00,up
595960,592550,596100,595580,3/14/2024 0:00,down
596750,592250,597030,595340,3/13/2024 0:00,up
598830,595560,599600,597090,3/12/2024 0:00,up
593320,592550,600100,599410,3/11/2024 0:00,up
601070,592250,601070,592850,3/10/2024 0:00,up
608930,603750,609600,605340,3/9/2024 0:00,up
609370,604150,610600,609890,3/6/2024 0:00,up
598550,598060,611100,609350,3/4/2024 0:00,up
592990,590750,595600,593390,3/3/2024 0:00,up
592390,591750,601100,593130,3/2/2024 0:00,up
581060,580750,585100,584660,2/29/2024 0:00,up
588080,579260,588600,581090,2/28/2024 0:00,up
580310,579760,586600,586050,2/27/2024 0:00,up
572310,572050,580100,580030,2/25/2024 0:00,up
572580,571950,574400,572670,2/24/2024 0:00,up
570310,570110,573900,572710,2/22/2024 0:00,up
567450,567270,572100,570290,2/21/2024 0:00,up
570340,563450,570600,565060,2/20/2024 0:00,up
569990,568950,572100,570360,2/19/2024 0:00,up
565730,565480,571800,570100,2/18/2024 0:00,up
562280,559480,563100,563020,2/17/2024 0:00,up
557210,556450,560800,560270,2/15/2024 0:00,up
556770,553950,556770,555800,2/14/2024 0:00,up
551460,551450,554900,554690,2/13/2024 0:00,up
551450,550750,555300,551950,2/12/2024 0:00,up
549900,548750,552600,551370,2/11/2024 0:00,up
552900,548260,552900,549020,2/10/2024 0:00,up
557080,556250,557600,556970,2/8/2024 0:00,up
552300,552250,559100,557380,2/7/2024 0:00,up
551330,544250,558530,553880,2/5/2024 0:00,up
561290,549760,561570,551370,2/4/2024 0:00,up
580090,563750,580090,563780,2/3/2024 0:00,up
582390,577280,587600,578040,1/31/2024 0:00,up
588990,571410,591100,582890,1/30/2024 0:00,up
562550,562550,583600,582990,1/29/2024 0:00,up
560470,555810,560590,558630,1/28/2024 0:00,up
553520,553290,571330,563000,1/27/2024 0:00,up
549070,548750,556600,556590,1/24/2024 0:00,up
541350,540760,549100,548920,1/23/2024 0:00,up
539050,536250,542100,540510,1/22/2024 0:00,up
541030,537750,542600,539080,1/21/2024 0:00,up
539030,536470,542600,542230,1/20/2024 0:00,up
538550,535250,543600,540290,1/18/2024 0:00,up
530030,529760,537100,536510,1/17/2024 0:00,up
526040,525950,529600,529040,1/16/2024 0:00,up
521910,521810,525100,524630,1/15/2024 0:00,up
524170,519770,531530,520860,1/14/2024 0:00,up
517110,517110,525970,524680,1/13/2024 0:00,up
520960,515650,521680,516020,1/11/2024 0:00,up
516480,516450,520200,519780,1/10/2024 0:00,up
509670,509670,515700,514840,1/9/2024 0:00,up
509560,507870,510100,509490,1/8/2024 0:00,up
509890,505350,510100,509760,1/7/2024 0:00,up
511940,508850,513020,509740,1/6/2024 0:00,up
511290,510850,515080,514170,1/4/2024 0:00,up
506280,505960,509000,508290,1/3/2024 0:00,up
505280,504750,506500,506430,1/2/2024 0:00,up
506160,504450,506680,505980,1/1/2024 0:00,up
505020,504650,505690,505630,12/31/2023 0:00,up
505490,504950,507670,506160,12/30/2023 0:00,up
501510,501510,503680,503190,12/28/2023 0:00,up
500960,500750,503680,503450,12/27/2023 0:00,up
500960,500950,503180,501040,12/26/2023 0:00,up
500890,500890,500890,500890,12/25/2023 0:00,down
502450,500450,503400,500690,12/24/2023 0:00,up
503090,502450,504490,503010,12/23/2023 0:00,up
498390,498160,501680,500760,12/21/2023 0:00,up
502420,500450,510620,500560,12/19/2023 0:00,up
503470,501950,504200,502380,12/18/2023 0:00,up
504130,503950,505190,504670,12/17/2023 0:00,up
504960,504060,505500,504670,12/16/2023 0:00,up
504380,503980,505200,504670,12/14/2023 0:00,up
503980,503450,504700,504460,12/13/2023 0:00,up
506160,504450,506400,504640,12/12/2023 0:00,up
505190,504850,506200,506170,12/11/2023 0:00,up
505410,504150,506200,505350,12/10/2023 0:00,up
504550,504150,506500,505310,12/9/2023 0:00,up
505170,504460,505900,505170,12/7/2023 0:00,up
506310,503050,506310,504240,12/6/2023 0:00,up
505990,504010,506010,505010,12/5/2023 0:00,up
505750,505100,506510,506510,12/4/2023 0:00,up
504750,504300,506910,505910,12/3/2023 0:00,up
504820,503300,506010,504830,12/2/2023 0:00,up
507470,506800,508510,506950,11/30/2023 0:00,up
504160,501500,509510,507010,11/29/2023 0:00,up
505510,502300,506310,506010,11/27/2023 0:00,up
504010,502000,505510,502510,11/26/2023 0:00,up
504010,502100,506010,504280,11/25/2023 0:00,up
502320,501300,504010,503740,11/23/2023 0:00,up
504470,501510,504510,502190,11/22/2023 0:00,up
502510,501300,506510,501990,11/21/2023 0:00,up
501900,501510,504510,504010,11/20/2023 0:00,up
506650,502850,507400,503040,11/19/2023 0:00,up
508520,505550,508600,506400,11/18/2023 0:00,up
510380,508850,510600,509430,11/16/2023 0:00,up
511550,508850,511600,509070,11/15/2023 0:00,up
510550,509850,512400,511510,11/14/2023 0:00,up
513740,510850,513900,511800,11/13/2023 0:00,up
514980,512550,515100,513370,11/12/2023 0:00,up
514580,512850,515600,513250,11/11/2023 0:00,up
514020,513350,514600,513530,11/9/2023 0:00,up
511790,509850,514600,510520,11/8/2023 0:00,up
513590,511850,513600,512190,11/7/2023 0:00,up
514540,512190,514600,513520,11/6/2023 0:00,up
514570,512350,516100,512360,11/5/2023 0:00,up
517600,510350,517600,511400,11/4/2023 0:00,up
518510,518130,521600,521350,11/2/2023 0:00,up
514980,513650,518100,516860,11/1/2023 0:00,up
516820,515440,518090,516380,10/31/2023 0:00,up
511940,510650,514600,514600,10/30/2023 0:00,up
